"","lon","lat","time","xco2","uncertanty","quality_flag","date","mes"
"1",-57.4860343933105,1.61493563652039,1578763493.56202,413.052520751953,0.618031680583954,1,2020-01-11,1
"2",-58.5047988891602,-0.732645690441132,1579368623.72301,416.522918701172,0.824847817420959,1,2020-01-18,1
"3",-59.6484222412109,-3.74286413192749,1580751003.282,403.421661376953,0.730398774147034,1,2020-02-03,2
"4",-59.6786155700684,-3.59040594100952,1580751005.56202,411.987030029297,0.69420713186264,1,2020-02-03,2
"5",-59.6750526428223,-3.66437292098999,1580751005.74902,407.194549560547,0.50948691368103,1,2020-02-03,2
"6",-59.684944152832,-3.58465099334717,1580751006.30903,411.771270751953,0.685180008411407,1,2020-02-03,2
"7",-60.1304244995117,-1.57395493984222,1580751041.56202,409.709167480469,0.622916996479034,1,2020-02-03,2
"8",-60.1329154968262,-1.56553685665131,1580751041.92102,411.177612304688,0.73122775554657,1,2020-02-03,2
"9",-60.1314277648926,-1.57609057426453,1580751041.94802,409.778198242188,0.608926653862,1,2020-02-03,2
"10",-60.1341209411621,-1.56781327724457,1580751042.30899,411.136260986328,0.689805746078491,1,2020-02-03,2
"11",-60.1328582763672,-1.5783748626709,1580751042.33599,408.594787597656,0.588367223739624,1,2020-02-03,2
"12",-60.1413841247559,-1.52800750732422,1580751042.58801,410.805053710938,0.716511487960815,1,2020-02-03,2
"13",-60.1357536315918,-1.57011377811432,1580751042.69599,409.512542724609,0.706976294517517,1,2020-02-03,2
"14",-60.144100189209,-1.51974642276764,1580751042.94801,410.664978027344,0.334660023450851,1,2020-02-03,2
"15",-60.1425933837891,-1.53026020526886,1580751042.97501,410.847106933594,0.619383215904236,1,2020-02-03,2
"16",-60.1442489624023,-1.53248071670532,1580751043.36302,411.399993896484,0.728523015975952,1,2020-02-03,2
"17",-60.1462059020996,-1.53481888771057,1580751043.74902,412.044799804688,0.787121951580048,1,2020-02-03,2
"18",-60.1666870117188,-1.41537547111511,1580751044.588,410.483947753906,0.608484983444214,1,2020-02-03,2
"19",-60.1756935119629,-1.38045430183411,1580751045.64202,403.383209228516,0.573098301887512,1,2020-02-03,2
"20",-58.1281089782715,-9.85710620880127,1582738469.22802,412.263580322266,0.515752553939819,1,2020-02-26,2
"21",-58.1325302124023,-9.83688259124756,1582738469.56199,410.017456054688,0.531229794025421,1,2020-02-26,2
"22",-58.138614654541,-9.84516906738281,1582738469.58802,410.299560546875,0.51126903295517,1,2020-02-26,2
"23",-58.1573715209961,-9.86982154846191,1582738469.66901,411.032806396484,0.48204094171524,1,2020-02-26,2
"24",-58.1637573242188,-9.87792778015137,1582738469.69601,409.976318359375,0.475837290287018,1,2020-02-26,2
"25",-58.1702003479004,-9.88599109649658,1582738469.72301,410.823181152344,0.521815538406372,1,2020-02-26,2
"26",-58.149284362793,-9.83319568634033,1582738469.94799,411.200775146484,0.658261656761169,1,2020-02-26,2
"27",-58.1555480957031,-9.84144592285156,1582738469.97503,409.696411132812,0.524319171905518,1,2020-02-26,2
"28",-58.1618347167969,-9.84957695007324,1582738470.00202,410.859832763672,0.552690088748932,1,2020-02-26,2
"29",-58.168212890625,-9.85768795013428,1582738470.02902,411.022735595703,0.503701329231262,0,2020-02-26,2
