"","medias_inter$data","x","trend","seasonal","random"
"1",2015 jan,398.01015586853,NA,1.05114881863364,NA
"2",2015 fev,398.717721004614,NA,0.621168158808376,NA
"3",2015 mar,399.677506880327,NA,0.520439567731404,NA
"4",2015 abr,401.461986144935,NA,-0.12930388608504,NA
"5",2015 mai,400.946146351207,NA,-0.000600752681739632,NA
"6",2015 jun,400.28353267308,NA,0.220021788473917,NA
"7",2015 jul,399.960375515483,400.342994352154,-0.606605781172991,0.223986944502315
"8",2015 ago,399.403691643022,400.719675998575,-1.16724104159158,-0.148743313961234
"9",2015 set,399.730966584004,401.080817544731,-0.946792629079814,-0.403058331647571
"10",2015 out,402.275109332541,401.278677155428,0.0626195068443531,0.933812670268878
"11",2015 nov,401.132414825203,401.436119662497,-0.103199500144536,-0.200505337149309
"12",2015 dez,400.323159937522,401.71927848165,0.478345750264015,-1.87446429439177
"13",2016 jan,402.396486799294,402.014133399232,1.05114881863364,-0.668795418572017
"14",2016 fev,403.371749587944,402.266060713606,0.621168158808376,0.484520715529413
"15",2016 mar,403.690875404759,402.532229837252,0.520439567731404,0.638205999775607
"16",2016 abr,402.19724827721,402.740703303512,-0.12930388608504,-0.414151140216802
"17",2016 mai,403.989504388591,402.940676569506,-0.000600752681739632,1.04942857176673
"18",2016 jun,404.035986295365,403.305332389109,0.220021788473917,0.510632117782166
"19",2016 jul,403.284439915175,403.626570921748,-0.606605781172991,0.264474774599933
"20",2016 ago,402.125882788306,403.760209772894,-1.16724104159158,-0.467085942996619
"21",2016 set,403.396834406237,403.828618078455,-0.946792629079814,0.515008956862516
"22",2016 out,403.612604700533,403.937134209669,0.0626195068443531,-0.387149015980413
"23",2016 nov,404.594277841074,404.064234427563,-0.103199500144536,0.633242913655238
"24",2016 dez,405.613036592128,404.174555488029,0.478345750264015,0.960135353835085
"25",2017 jan,404.81633492802,404.2661391433,1.05114881863364,-0.500953033914016
"26",2017 fev,404.159233886719,404.416595840778,0.621168158808376,-0.878530112868077
"27",2017 mar,404.545190439438,404.624963837131,0.520439567731404,-0.60021296542476
"28",2017 abr,403.947320391681,404.830306020676,-0.12930388608504,-0.753681742910032
"29",2017 mai,405.289837503565,405.018802227249,-0.000600752681739632,0.271636028996966
"30",2017 jun,405.383358631578,405.152276832495,0.220021788473917,0.0110600106089578
"31",2017 jul,404.135075305473,405.281587004226,-0.606605781172991,-0.53990591758037
"32",2017 ago,404.886208137491,405.509104267192,-1.16724104159158,0.544344911890903
"33",2017 set,405.63734096951,405.79151696858,-0.946792629079814,0.79261663000932
"34",2017 out,406.30031054234,406.031242719978,0.0626195068443531,0.206448315517548
"35",2017 nov,406.430480957031,406.201972767744,-0.103199500144536,0.331707689432221
"36",2017 dez,406.98022400206,406.334283693341,0.478345750264015,0.167594558455335
"37",2018 jan,406.552591639639,406.527510062577,1.05114881863364,-1.02606724157152
"38",2018 fev,407.883391486274,406.756123989317,0.621168158808376,0.506099338148999
"39",2018 mar,407.598937673203,406.89262680269,0.520439567731404,0.185871302781663
"40",2018 abr,406.646991191466,406.987141852258,-0.12930388608504,-0.210846774706738
"41",2018 mai,406.687687850152,407.127193952485,-0.000600752681739632,-0.438905349651577
"42",2018 jun,407.160970499324,407.328719850441,0.220021788473917,-0.38777113959145
"43",2018 jul,406.994896299389,407.594236735972,-0.606605781172991,0.0072653445899391
"44",2018 ago,407.513121385331,407.846242373757,-1.16724104159158,0.834120053165407
"45",2018 set,406.286495242632,408.068732346865,-0.946792629079814,-0.83544447515311
"46",2018 out,407.91951745885,408.314409806092,0.0626195068443531,-0.457511854085794
"47",2018 nov,408.172524445976,408.626484884126,-0.103199500144536,-0.350760938005067
"48",2018 dez,410.074802064059,408.929635906072,0.478345750264015,0.666820407723094
"49",2019 jan,409.83041883037,409.203856954985,1.05114881863364,-0.424586943248642
"50",2019 fev,410.6536996024,409.450085273451,0.621168158808376,0.582446170140202
"51",2019 mar,410.168388911656,409.721852115553,0.520439567731404,-0.0739027716286955
"52",2019 abr,409.973798974455,410.051878765495,-0.12930388608504,0.051224095045086
"53",2019 mai,410.850681939985,410.325310908418,-0.000600752681739632,0.525971784248725
"54",2019 jun,410.273600936198,410.558321256074,0.220021788473917,-0.504742108349717
"55",2019 jul,410.463571036436,410.884413677078,-0.606605781172991,0.18576314053098
"56",2019 ago,409.953926291459,411.162644161184,-1.16724104159158,-0.0414768281335682
"57",2019 set,410.368094546959,411.330823309779,-0.946792629079814,-0.0159361337400128
"58",2019 out,411.758557753129,411.557462987667,0.0626195068443531,0.138475258617632
"59",2019 nov,410.895855581834,411.694828898766,-0.103199500144536,-0.695773816788005
"60",2019 dez,412.943719271956,411.806558830441,0.478345750264015,0.658814691250996
"61",2020 jan,414.787719726562,411.98375448041,1.05114881863364,1.75281642751912
"62",2020 fev,412.373930324762,412.091308018695,0.621168158808376,-0.338545852741447
"63",2020 mar,412.484457755575,412.164436076254,0.520439567731404,-0.20041788841047
"64",2020 abr,413.097082399854,412.245564594131,-0.12930388608504,0.980821691808217
"65",2020 mai,411.024180380951,412.35702512156,-0.000600752681739632,-1.33224398792692
"66",2020 jun,412.781620855427,412.437489693986,0.220021788473917,0.1241093729667
"67",2020 jul,412.208246716462,412.499708102817,-0.606605781172991,0.315144394817935
"68",2020 ago,410.790535530272,412.647818493777,-1.16724104159158,-0.690041921913462
"69",2020 set,411.286558689581,412.877315059978,-0.946792629079814,-0.643963741317009
"70",2020 out,412.787178039551,413.072734684656,0.0626195068443531,-0.348176151949474
"71",2020 nov,412.542287953695,413.270976503053,-0.103199500144536,-0.625489049214082
"72",2020 dez,413.228436638327,413.501577738545,0.478345750264015,-0.751486850481513
"73",2021 jan,415.996244172127,413.6744287425,1.05114881863364,1.27066661099303
"74",2021 fev,414.720055262248,413.88484829834,0.621168158808376,0.214038805099221
"75",2021 mar,415.646250406901,414.169256306465,0.520439567731404,0.956554532704729
"76",2021 abr,414.625360740806,414.425146910608,-0.12930388608504,0.329517716282567
"77",2021 mai,414.253705681537,414.686895741528,-0.000600752681739632,-0.432589307309115
"78",2021 jun,415.086525206635,414.972689927639,0.220021788473917,-0.106186509478391
"79",2021 jul,414.051766460192,415.123164615057,-0.606605781172991,-0.464792373692092
"80",2021 ago,413.997085126695,415.20350681857,-1.16724104159158,-0.0391806502829581
"81",2021 set,414.905801288152,415.269880514478,-0.946792629079814,0.582713402754393
"82",2021 out,415.309309940414,415.34065334819,0.0626195068443531,-0.0939629146197376
"83",2021 nov,416.302127994903,415.50581264921,-0.103199500144536,0.899514845837302
"84",2021 dez,416.327657063802,415.684788872161,0.478345750264015,0.164522441377358
"85",2022 jan,416.508416244664,415.868411519468,1.05114881863364,-0.411144093437485
"86",2022 fev,416.136096074031,416.093020670762,0.621168158808376,-0.578092755539728
"87",2022 mar,415.823178296898,416.216900631196,0.520439567731404,-0.914161902029491
"88",2022 abr,416.1469808599,416.267232283519,-0.12930388608504,0.00905246246617253
"89",2022 mai,416.69590878694,416.347870971978,-0.000600752681739632,0.348638567643718
"90",2022 jun,416.939751452038,416.374895099734,0.220021788473917,0.344834563830318
"91",2022 jul,416.605483750166,NA,-0.606605781172991,NA
"92",2022 ago,416.833987467785,NA,-1.16724104159158,NA
"93",2022 set,415.042017997471,NA,-0.946792629079814,NA
"94",2022 out,416.381052886846,NA,0.0626195068443531,NA
"95",2022 nov,417.165713571479,NA,-0.103199500144536,NA
"96",2022 dez,416.112650553385,NA,0.478345750264015,NA
